Category,Name,Description,Price (USD),Image URL
Signature Bouquets,Classic All White Arrangement,"Pristine white roses, white stargazer lilies and white stock in an elegant glass vase.",79.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/7c498cfe-bfb3-4494-93e9-f777fd737f51-retina-large.jpg"
Signature Bouquets,Country Pearl Bouquet,"Lush arrangement with cream roses, silver dollar eucalyptus, mums and purple globe amaranth.",85.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/b8e9e673-cbe8-4842-aa35-869d8099e086-retina-large.jpg"
Signature Bouquets,Amazing Mom Floral Basket,Blue-colored roses and stargazer lilies with dollar eucalyptus and seasonal wildflowers in an elegant glass vase.,119.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/b6130844-03f8-4a5f-b489-951737b880c7-retina-large.jpg"
Signature Bouquets,Mixed Floral Bouquet,"Delightful spray of mixed seasonal blooms, roses, and greens wrapped in paper.",39.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/8a4b8270-a499-4df0-945d-c9aa3f233b66-retina-large.jpg"
Signature Bouquets,Easter Flower Basket,"Springtime bouquet with pastel mixed roses, daisies, carnations, seasonal blooms, baby&apos;s breath and greens.",62.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/0572d39b-2f8e-4691-ad97-d16e71dc8447-retina-large.jpg"
Potted Plants and Flowers,White Phalaenopsis Orchid,Elegant stems and clusters of vibrant white orchid blooms in a glass planter.,74.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/8337052b-d746-4253-b291-f306e3c7e506-retina-large.jpg"
Potted Plants and Flowers,Double Orchid Plant,Two majestic mini orchids in a glass planter.,97.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/4494b195-f48a-45b2-a084-ba500d86f182-retina-large.jpg"
Potted Plants and Flowers,Pink Kalanchoe Plant,"Showy, tropical, succulent plant with bright, colorful blooms.",51.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/d6715eed-c5b4-4a20-957b-a95225b8e3b7-retina-large.jpg"
Potted Plants and Flowers,Peace Lily Plant,"A perfect gift, this plant is prized for its easy care, glossy foliage, unique flowers, and low light tolerance.",51.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/964a5978-c0df-4eb2-bc92-650a77107a5e-retina-large.jpg"
Gifts and Extras,Small Teddy Bear,Send an adorable plush teddy to show them you&apos;re thinking of them.,51.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/4ee065b1-cda2-4027-ab35-277e9ebe6300-retina-large.jpg"
Gifts and Extras,Table Centerpieces,Let us create an elegant or romantic centerpiece for your next special occasion or gathering. Our expert floral designer can create something special to set just the right tone.,74.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/85e67b66-dbd5-4191-b430-acc94bc6d26b-retina-large.jpg"
